2018-11-15 12:06:43 startup archives unpack
2018-11-15 12:06:43 install libcap2:amd64 <none> 1:2.25-1
2018-11-15 12:06:43 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-11-15 12:06:43 status half-installed libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 install iputils-ping:amd64 <none> 3:20161105-1
2018-11-15 12:06:44 status half-installed iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 status unpacked iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 status unpacked iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 install libcap2-bin:amd64 <none> 1:2.25-1
2018-11-15 12:06:44 status half-installed libcap2-bin:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libcap2-bin:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libcap2-bin:amd64 1:2.25-1
2018-11-15 12:06:44 install libpam-cap:amd64 <none> 1:2.25-1
2018-11-15 12:06:44 status half-installed libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 startup packages configure
2018-11-15 12:06:44 configure libcap2:amd64 1:2.25-1 <none>
2018-11-15 12:06:44 status unpacked libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 status half-configured libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 status installed libcap2:amd64 1:2.25-1
2018-11-15 12:06:44 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-11-15 12:06:44 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-11-15 12:06:44 status installed libc-bin:amd64 2.24-11+deb9u3
2018-11-15 12:06:44 configure iputils-ping:amd64 3:20161105-1 <none>
2018-11-15 12:06:44 status unpacked iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 status half-configured iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 status installed iputils-ping:amd64 3:20161105-1
2018-11-15 12:06:44 configure libpam-cap:amd64 1:2.25-1 <none>
2018-11-15 12:06:44 status unpacked libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 status unpacked libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 status half-configured libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 status installed libpam-cap:amd64 1:2.25-1
2018-11-15 12:06:44 configure libcap2-bin:amd64 1:2.25-1 <none>
2018-11-15 12:06:44 status unpacked libcap2-bin:amd64 1:2.25-1
2018-11-15 12:06:44 status half-configured libcap2-bin:amd64 1:2.25-1
2018-11-15 12:06:44 status installed libcap2-bin:amd64 1:2.25-1
